"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sat Jun 05 03:46:49 GMT 2021","Sat Jun 05 03:46:49 GMT 2021","0","","jp.shiftinc.automation.ParallelTestExample","","jp.shiftinc.automation.ParallelTestExample","canClickElement","canClickElement()",""
"passed","Sat Jun 05 03:46:32 GMT 2021","Sat Jun 05 03:46:49 GMT 2021","16714","","jp.shiftinc.automation.ParallelTestExample","","jp.shiftinc.automation.ParallelTestExample","canDownloadCorrectFile","allow popup when download => false",""
"skipped","Sat Jun 05 03:46:49 GMT 2021","Sat Jun 05 03:46:49 GMT 2021","0","","jp.shiftinc.automation.ParallelTestExampleAlt","","jp.shiftinc.automation.ParallelTestExampleAlt","canClickElement","canClickElement()",""
"passed","Sat Jun 05 03:46:32 GMT 2021","Sat Jun 05 03:46:49 GMT 2021","16421","","jp.shiftinc.automation.ParallelTestExampleAlt","","jp.shiftinc.automation.ParallelTestExampleAlt","canDownloadCorrectFile","allow popup when download => false",""
